18	1	p09r03n52.milgram.hpc.yale.internal	2021-03-11 16:06:18	2021-03-11 16:06:59	40.89	sh 3_sbatch_csd.sh 18
24	1	p09r03n52.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:06:59	40.47	sh 3_sbatch_csd.sh 24
95	1	p09r02n06.milgram.hpc.yale.internal	2021-03-11 16:06:20	2021-03-11 16:06:59	39.78	sh 3_sbatch_csd.sh 95
71	1	p09r02n04.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:06:59	40.22	sh 3_sbatch_csd.sh 71
66	1	p09r02n03.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:06:59	40.24	sh 3_sbatch_csd.sh 66
54	1	p09r03n56.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:06:59	40.54	sh 3_sbatch_csd.sh 54
53	1	p09r03n56.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:06:59	40.57	sh 3_sbatch_csd.sh 53
56	1	p09r03n56.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:06:59	40.45	sh 3_sbatch_csd.sh 56
47	1	p09r03n55.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:03	44.09	sh 3_sbatch_csd.sh 47
45	1	p09r03n55.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:03	44.25	sh 3_sbatch_csd.sh 45
44	1	p09r03n55.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:03	44.60	sh 3_sbatch_csd.sh 44
48	1	p09r03n55.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	44.62	sh 3_sbatch_csd.sh 48
52	1	p09r03n55.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	44.63	sh 3_sbatch_csd.sh 52
49	1	p09r03n55.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	44.79	sh 3_sbatch_csd.sh 49
76	1	p09r02n04.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	44.43	sh 3_sbatch_csd.sh 76
55	1	p09r03n56.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	44.93	sh 3_sbatch_csd.sh 55
84	1	p09r02n05.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	44.73	sh 3_sbatch_csd.sh 84
75	1	p09r02n04.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:04	45.10	sh 3_sbatch_csd.sh 75
73	1	p09r02n04.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:05	45.67	sh 3_sbatch_csd.sh 73
12	1	p09r03n51.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:05	46.22	sh 3_sbatch_csd.sh 12
80	1	p09r02n05.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:05	45.67	sh 3_sbatch_csd.sh 80
88	1	p09r02n05.milgram.hpc.yale.internal	2021-03-11 16:06:20	2021-03-11 16:07:05	45.28	sh 3_sbatch_csd.sh 88
9	1	p09r03n51.milgram.hpc.yale.internal	2021-03-11 16:06:18	2021-03-11 16:07:05	46.40	sh 3_sbatch_csd.sh 9
91	1	p09r02n06.milgram.hpc.yale.internal	2021-03-11 16:06:19	2021-03-11 16:07:05	45.50	sh 3_sbatch_csd.sh 91
